lakeid,trans,dist,setdate,coldate,andate,daysout,trayweight,dw_tray,dw,fract_bgch,fract_smch,fract_simu,bgch,smch,simu,comments,
hel,hel1,5,2013-06-05,2013-06-21,2013-06-22,16,NA,NA,NA,1,1,1,144,4,83,,
hel,hel1,50,2013-06-05,2013-06-21,2013-06-22,16,NA,NA,NA,1,1,1,11,17,38,,
hel,hel1,150,2013-06-05,2013-06-21,2013-06-22,16,NA,NA,NA,1,1,1,2,9,28,,
hel,hel1,500,2013-06-05,2013-06-21,2013-06-22,16,NA,NA,NA,1,1,1,1,1,105,,
hel,hel2,5,2013-06-05,2013-06-21,2013-06-22,16,NA,NA,NA,1,1,1,102,22,201,,
hel,hel2,50,2013-06-05,2013-06-21,2013-06-22,16,NA,NA,NA,1,1,1,7,15,35,,
hel,hel2,150,2013-06-05,2013-06-21,2013-06-22,16,NA,NA,NA,1,1,1,10,35,35,,
hel,hel2,500,2013-06-05,2013-06-21,2013-06-22,16,NA,NA,NA,1,1,1,2,4,60,,
hel,hel1,5,2013-06-21,2013-07-03,2013-07-04,12,NA,NA,NA,1,1,1,3,119,316,,
hel,hel1,50,2013-06-21,2013-07-03,2013-07-04,12,NA,NA,NA,1,1,1,0,61,39,,
hel,hel1,150,2013-06-21,2013-07-03,2013-07-04,12,NA,NA,NA,1,1,1,1,11,75,,
hel,hel1,500,2013-06-21,2013-07-03,2013-07-04,12,NA,NA,NA,1,1,1,0,9,147,,
hel,hel2,5,2013-06-21,2013-07-03,2013-07-04,12,NA,NA,NA,1,1,1,6,325,105,,
hel,hel2,50,2013-06-21,2013-07-03,2013-07-04,12,NA,NA,NA,1,1,1,0,35,15,,
hel,hel2,150,2013-06-21,2013-07-03,2013-07-04,12,NA,NA,NA,1,1,1,5,41,31,,
hel,hel2,500,2013-06-21,2013-07-03,2013-07-04,12,NA,NA,NA,1,1,1,0,4,27,,
hel,hel1,5,2013-07-03,2013-07-18,2013-07-18,15,NA,NA,NA,1,1,1,0,357,9,,
hel,hel1,50,2013-07-03,2013-07-18,2013-07-18,15,NA,NA,NA,1,1,1,0,419,8,,
hel,hel1,150,2013-07-03,2013-07-18,2013-07-18,15,NA,NA,NA,1,1,1,0,56,2,,
hel,hel1,500,2013-07-03,2013-07-18,2013-07-18,15,NA,NA,NA,1,1,1,0,21,4,,
hel,hel2,5,2013-07-03,2013-07-18,2013-07-18,15,NA,NA,NA,1,1,1,0,720,6,,
hel,hel2,50,2013-07-03,2013-07-18,2013-07-18,15,NA,NA,NA,1,1,1,0,169,0,,
hel,hel2,150,2013-07-03,2013-07-18,2013-07-18,15,NA,NA,NA,1,1,1,0,156,14,,
hel,hel2,500,2013-07-03,2013-07-18,2013-07-18,15,NA,NA,NA,1,1,1,0,12,8,,
hel,hel1,5,2013-07-18,2013-08-01,2013-08-01,14,NA,NA,NA,1,1,1,0,113,0,,
hel,hel1,50,2013-07-18,2013-08-01,2013-08-01,14,NA,NA,NA,1,1,1,0,29,18,,
hel,hel1,150,2013-07-18,2013-08-01,2013-08-01,14,NA,NA,NA,1,1,1,0,9,6,,
hel,hel1,500,2013-07-18,2013-08-01,2013-08-01,14,NA,NA,NA,1,1,1,0,9,1,,
hel,hel2,5,2013-07-18,2013-08-01,2013-08-01,14,NA,NA,NA,1,1,1,0,96,4,,
hel,hel2,50,2013-07-18,2013-08-01,2013-08-01,14,NA,NA,NA,1,1,1,0,27,4,,
hel,hel2,150,2013-07-18,2013-08-01,2013-08-01,14,NA,NA,NA,1,1,1,0,24,11,,
hel,hel2,500,2013-07-18,2013-08-01,2013-08-01,14,NA,NA,NA,1,1,1,0,1,1,,
hel,hel1,5,2013-08-01,2013-08-15,2013-08-15,14,NA,NA,NA,1,1,1,0,7,0,,
