lakeid,trans,dist,setdate,coldate,daysout,trayweight,dw_tray,dw,fract_bgch,fract_smch,fract_simu,bgch,smch,simu,comments,comments.2
myv,kal,5,2008-05-27,2008-06-03,7,NA,NA,NA,1,1,1,520,10591.90031,0,~100 Tany/Chiron stuck on cheesecloth,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,50,2008-05-27,2008-06-03,7,NA,NA,NA,1,1,1,2143.598873,3174.603175,1,NA,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,150,2008-05-27,2008-06-03,7,NA,NA,NA,1,1,1,2106.512387,885.1307917,4,NA,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,non,50,2008-05-27,2008-06-04,8,NA,NA,NA,1,1,1,2647.975078,17089.4526,0,NA,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,5,2008-05-29,2008-06-09,11,NA,NA,NA,1,1,1,343,6319.537161,6,NA,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,50,2008-05-29,2008-06-09,11,NA,NA,NA,1,1,1,946,401,1,picked sample off the ground,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,150,2008-05-29,2008-06-09,11,NA,NA,NA,1,1,1,489,73,0,"trapped tipped, logs of grass in sample, may have missed some Tanytarsus","There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,5,2008-05-30,2008-06-09,10,NA,NA,NA,1,1,1,648.2525366,11273.95716,0,NA,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,50,2008-05-30,2008-06-09,10,NA,NA,NA,1,1,1,851.8100965,5016.910936,0,NA,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,150,2008-05-30,2008-06-09,10,NA,NA,NA,1,1,1,241,174,0,NA,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
