lakeid,trans,dist,setdate,coldate,aran_other,lyco_pal_m,lyco_pal_f,lyco_hyp_m,lyco_hyp_f,lyco_sph_m,lyco_sph_f,lyco_alp_m,lyco_alp_f,lyco_unid_m,lyco_unid_f,lyco_juv,lyco_total,egsa,liny,gnap,thom,opil,acar_other,trom,acar_total,cole_other,cryp,stap,cara,curc,colj,clmb,comments,comments 2
hel,hel1,5,2008-06-07,2008-06-25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1,8,0,0,4,8,NA,8,0,NA,1,5,NA,0,93,NA,No comments/notes section in original data
hel,hel1,50,2008-06-07,2008-06-25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,0,3,0,1,19,NA,19,0,NA,0,1,NA,0,0,NA,No comments/notes section in original data
hel,hel1,150,2008-06-07,2008-06-25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,2,5,0,2,28,NA,28,0,NA,1,0,NA,0,55,NA,No comments/notes section in original data
hel,hel1,500,2008-06-07,2008-06-25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,0,4,2,0,1,64,NA,64,0,NA,0,0,NA,0,10,NA,No comments/notes section in original data
hel,hel2,5,2008-06-07,2008-06-25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,6,0,0,0,4,NA,4,0,NA,1,12,NA,0,23,NA,No comments/notes section in original data
hel,hel2,50,2008-06-07,2008-06-25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,0,2,1,0,1,19,NA,19,0,NA,0,2,NA,0,57,NA,No comments/notes section in original data
hel,hel2,150,2008-06-07,2008-06-25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,3,5,5,1,0,134,NA,134,0,NA,0,0,NA,0,67,NA,No comments/notes section in original data
hel,hel2,500,2008-06-07,2008-06-25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,0,4,1,2,1,34,NA,34,0,NA,2,0,NA,0,92,NA,No comments/notes section in original data
myv,kal,5,2008-06-10,2008-06-26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,24,1,0,9,43,NA,43,0,NA,34,7,NA,0,130,NA,No comments/notes section in original data
myv,kal,50,2008-06-10,2008-06-26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2,4,5,0,8,10,NA,10,0,NA,1,0,NA,0,2,NA,No comments/notes section in original data
