lakeid,trans,dist,setdate,coldate,andate,daysout,lyco_pal_m,lyco_pal_f,lyco_hyp_m,lyco_hyp_f,lyco_sph_m,lyco_sph_f,lyco_alp_m,lyco_alp_f,lyco_unid_m,lyco_unid_f,lyco_male,lyco_female,lyco_juv,lyco_OLD_total,Lyco_NEW_total,egsa,liny,gnap,thom,aran,opil,trom,trom_adult,trom_juv,acar,cryp,stap,cara,curc,colj,cole,clmb,comments,comments 2
hel,hel2,5,NA,2011-07-17,NA,38,0,0,4,0,73,28,10,3,0,0,87,31,12,118,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
hel,hel2,50,NA,2011-07-17,NA,38,28,5,40,15,2,2,0,0,0,0,70,22,4,92,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
hel,hel2,150,NA,2011-07-17,NA,38,8,6,14,4,1,0,0,0,0,0,23,10,1,33,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
hel,hel2,500,NA,2011-07-17,NA,38,10,5,69,19,22,11,0,0,0,0,101,35,11,136,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
hel,hel2,500,NA,2011-07-17,NA,NA,40,1,40,16,23,15,0,0,0,0,103,32,7,135,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,btl,5,NA,2011-07-20,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,btl,50,NA,2011-07-20,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,btl,150,NA,2011-07-20,NA,NA,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,kal,5,NA,2011-07-20,NA,15,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,kal,50,NA,2011-07-20,NA,15,4,0,0,0,0,0,0,0,0,0,4,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,hag,5,NA,2011-08-02,NA,NA,0,1,0,0,2,0,0,0,0,0,2,1,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,hag,50,NA,2011-08-02,NA,NA,0,3,0,0,1,0,0,0,0,0,1,3,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,hag,150,NA,2011-08-02,NA,NA,23,9,0,0,0,0,0,0,0,0,23,9,1,32,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,hag,500,NA,2011-08-02,NA,NA,26,9,4,0,1,0,0,0,0,0,31,9,5,40,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,non,50,NA,2011-08-02,NA,NA,8,0,0,1,0,0,0,0,0,0,8,1,0,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,non,NA,NA,2011-08-02,NA,NA,1,0,0,0,3,0,0,0,0,0,4,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,non,NA,NA,2011-08-02,NA,NA,0,1,0,0,0,3,0,0,0,0,0,4,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,vin,5,NA,2011-08-02,NA,NA,10,11,0,0,0,0,0,0,0,0,10,11,0,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,vin,50,NA,2011-08-02,NA,NA,23,17,1,0,2,2,0,0,0,0,26,19,4,45,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,vin,50,NA,2011-08-02,NA,NA,5,7,0,0,1,2,0,0,0,0,6,9,3,15,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
hel,hel1,5,NA,2011-08-07,NA,31,0,0,0,0,0,28,0,0,0,0,0,28,9,28,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
hel,hel1,50,NA,2011-08-07,NA,31,12,4,4,2,0,1,0,0,0,0,16,7,0,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
hel,hel1,150,NA,2011-08-07,NA,31,3,4,1,6,0,0,0,0,0,0,4,10,4,14,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
hel,hel1,500,NA,2011-08-07,NA,NA,5,0,4,2,7,9,0,0,0,0,16,11,7,27,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
myv,btl,5,2013-06-05,2013-06-18,2013-06-20,13,1,0,0,0,4,0,0,0,0,0,5,0,0,3,5,0,90,0,0,0,66,2,NA,NA,20,3,7,8,0,0,0,NA,,
myv,btl,50,2013-06-05,2013-06-18,2013-06-20,13,4,0,0,1,4,0,0,0,0,0,8,1,0,11,9,0,62,4,3,0,51,52,NA,NA,0,12,0,1,0,0,0,NA,,
myv,btl,150,2013-06-05,2013-06-18,2013-06-20,13,9,0,1,0,5,2,0,0,0,0,15,2,1,18,18,5,17,5,0,0,21,24,NA,NA,0,39,14,15,0,0,0,NA,,
myv,hag,5,2013-06-05,2013-06-18,2013-06-20,13,24,2,0,0,3,1,0,0,0,0,27,3,0,37,30,0,6,1,0,0,15,121,NA,NA,0,25,6,7,0,0,4,NA,,
myv,hag,50,2013-06-05,2013-06-18,2013-06-22,13,121,44,7,0,11,12,0,0,0,0,139,56,4,177,199,0,29,1,4,0,42,78,NA,NA,1,0,2,2,0,0,0,NA,,There is a very large (-22) discrepancy between the old and new counts
myv,hag,150,2013-06-05,2013-06-18,2013-06-20,13,8,0,2,5,0,0,0,0,0,0,10,5,2,9,17,0,8,0,0,0,2,75,NA,NA,6,0,1,0,0,0,0,NA,,
myv,hag,500,2013-06-05,2013-06-18,2013-06-20,13,80,12,16,0,9,3,0,0,0,0,105,15,7,122,127,0,9,0,0,0,2,23,NA,NA,3,0,2,0,0,0,0,NA,,
myv,kal,5,2013-06-05,2013-06-18,2013-06-20,13,2,2,1,0,2,0,0,0,0,0,5,2,1,6,8,0,31,0,0,0,34,8,NA,NA,10,1,6,0,0,0,0,NA,,
myv,kal,50,2013-06-05,2013-06-18,2013-06-20,13,75,5,3,0,8,0,1,0,0,0,87,5,1,106,93,6,13,12,1,0,0,440,NA,NA,3,0,2,1,0,0,0,NA,,
myv,kal,150,2013-06-05,2013-06-18,2013-06-20,13,22,3,1,0,8,4,0,0,0,0,31,7,0,37,38,0,14,15,0,0,3,89,NA,NA,0,0,1,0,0,1,0,NA,,
myv,non,5,2013-06-05,2013-06-18,2013-06-20,13,0,1,0,0,1,1,0,0,0,0,1,2,0,3,3,0,47,0,0,0,4,17,NA,NA,89,53,29,30,0,0,1,NA,,
myv,non,50,2013-06-05,2013-06-18,2013-06-20,13,14,0,0,0,0,0,0,0,0,0,14,0,2,19,16,0,35,14,1,1,38,38,NA,NA,12,5,1,0,0,0,2,NA,,
myv,non,150,2013-06-05,2013-06-18,2013-06-20,13,47,9,0,0,1,1,0,0,0,0,48,10,3,60,61,3,5,5,1,1,4,135,NA,NA,5,0,0,0,0,0,0,NA,,
myv,vin,5,2013-06-05,2013-06-18,2013-06-20,13,207,53,0,0,6,1,0,0,0,0,213,54,2,269,269,3,68,4,0,0,14,36,NA,NA,10,1,3,2,0,1,1,NA,,
myv,vin,50,2013-06-05,2013-06-18,2013-06-22,13,200,53,0,1,43,5,0,0,0,0,243,59,3,300,305,1,8,3,2,0,0,42,NA,NA,2,0,0,0,0,0,1,NA,,
myv,vin,150,2013-06-05,2013-06-18,2013-06-22,13,87,29,0,0,25,14,0,0,0,0,112,43,2,130,157,2,17,11,1,0,1,89,NA,NA,6,0,1,1,0,0,0,NA,,There is a very large (-27) discrepancy between the old and new counts
hel,hel1,5,2013-06-05,2013-06-21,2013-06-24,16,0,8,5,1,55,7,1,1,0,0,61,17,10,81,88,0,5,0,0,0,5,0,NA,NA,9,3,14,0,0,0,0,NA,,
hel,hel1,50,2013-06-05,2013-06-21,2013-06-24,16,24,7,34,9,7,1,0,0,0,0,65,17,2,80,84,1,10,3,1,0,14,221,NA,NA,0,0,0,0,0,0,0,NA,,
hel,hel1,150,2013-06-05,2013-06-21,2013-06-24,16,33,11,33,11,4,2,0,0,0,0,70,24,3,84,97,0,6,4,1,0,2,295,NA,NA,0,0,1,1,0,0,0,NA,,
hel,hel1,500,2013-06-05,2013-06-21,2013-06-24,16,10,0,35,14,23,20,0,0,0,0,68,34,4,88,106,1,9,6,2,0,12,220,NA,NA,0,0,0,2,0,0,0,NA,,
hel,hel2,5,2013-06-05,2013-06-21,2013-06-22,16,0,0,10,0,42,8,0,0,0,0,52,8,1,58,61,0,1,0,0,0,2,0,NA,NA,1,2,0,0,0,0,0,NA,,
hel,hel2,50,2013-06-05,2013-06-21,2013-06-22,16,9,8,13,9,3,1,0,0,0,0,25,18,1,43,44,0,6,0,0,0,2,0,NA,NA,73,2,0,0,0,0,0,NA,,
hel,hel2,150,2013-06-05,2013-06-21,2013-06-22,16,1,4,24,4,0,0,0,0,0,0,25,8,3,40,36,0,2,0,0,0,3,74,NA,NA,14,0,0,0,0,0,0,NA,,
