trans,distance,year,taxon,days,count,m_days,midges,catch_rate,midge_rate,midges_z,dist_z,time_z,plot,midges_lag,y
btl,5,2009,cara,60,2,67,13713.815358266333,-2.995732273553991,204.68381131740796,0.3087767837063963,-0.7532369776048052,0.3479739337735782,5 btl,1.179785947072957,-0.6783051098671247
btl,5,2010,cara,52,9,77,14192.239725229945,-1.6486586255873816,184.31480162636294,0.18043663341670974,-0.7532369776048052,0.6959478675471564,5 btl,0.3087767837063963,0.4542593275722786
btl,5,2011,cara,30,1,77,301,-2.70805020110221,3.909090909090909,-0.9562556445957782,-0.7532369776048052,1.0439218013207345,5 btl,0.18043663341670974,-0.43643378750878764
btl,5,2012,cara,85,8,79,3776,-2.245426679154097,47.79746835443038,-0.6797257080529291,-0.7532369776048052,1.3918957350943129,5 btl,-0.9562556445957782,-0.04747884828011416
btl,5,2013,cara,70,10,70,9117,-1.8505999692509885,130.24285714285713,-0.16025746937610452,-0.7532369776048052,1.739869668867891,5 btl,-0.6797257080529291,0.28447530379052965
btl,5,2014,cara,60,8,50,13339,-1.8971199848858813,266.78,0.7000296874469376,-0.7532369776048052,2.087843602641469,5 btl,-0.16025746937610452,0.24536317698385143
btl,5,2015,cara,71,10,54,17832,-1.864784604242945,330.22222222222223,1.0997636194451783,-0.7532369776048052,2.435817536415047,5 btl,0.7000296874469376,0.27254944274039444
btl,5,2016,cara,72,30,57,11196,-0.842678914530909,196.42105263157896,0.25671516128923394,-0.7532369776048052,2.7837914701886257,5 btl,1.0997636194451783,1.1318941097671074
btl,5,2017,cara,55,31,55,7334,-0.5415972824327444,133.34545454545454,-0.14070876165896887,-0.7532369776048052,3.131765403962204,5 btl,0.25671516128923394,1.3850312339290431
btl,5,2009,gnap,60,0,67,13713.815358266333,-4.0943445622221,204.68381131740796,0.3087767837063963,-0.7532369776048052,0.3479739337735782,5 btl,1.179785947072957,-2.306087655828849
btl,5,2010,gnap,52,3,77,14192.239725229945,-2.5649493574615367,184.31480162636294,0.18043663341670974,-0.7532369776048052,0.6959478675471564,5 btl,0.3087767837063963,-0.5878274841921477
btl,5,2011,gnap,30,0,77,301,-3.4011973816621555,3.909090909090909,-0.9562556445957782,-0.7532369776048052,1.0439218013207345,5 btl,0.18043663341670974,-1.5273437512244885
btl,5,2012,gnap,85,12,79,3776,-1.8777018990287797,47.79746835443038,-0.6797257080529291,-0.7532369776048052,1.3918957350943129,5 btl,-0.9562556445957782,0.18428814178068803
btl,5,2013,gnap,70,1,70,9117,-3.5553480614894135,130.24285714285713,-0.16025746937610452,-0.7532369776048052,1.739869668867891,5 btl,-0.6797257080529291,-1.700530493770452
btl,5,2014,gnap,60,5,50,13339,-2.3025850929940455,266.78,0.7000296874469376,-0.7532369776048052,2.087843602641469,5 btl,-0.16025746937610452,-0.2930638647614031
btl,5,2015,gnap,71,2,54,17832,-3.164067588373206,330.22222222222223,1.0997636194451783,-0.7532369776048052,2.435817536415047,5 btl,0.7000296874469376,-1.260930807043305
btl,5,2016,gnap,72,60,57,11196,-0.16579225484274407,196.42105263157896,0.25671516128923394,-0.7532369776048052,2.7837914701886257,5 btl,1.0997636194451783,2.1076014553634472
btl,5,2017,gnap,55,2,55,7334,-2.908720896564361,133.34545454545454,-0.14070876165896887,-0.7532369776048052,3.131765403962204,5 btl,0.25671516128923394,-0.9740513601033501
btl,5,2009,lyco,60,13,67,13713.815358266333,-1.455287232606842,204.68381131740796,0.3087767837063963,-0.7532369776048052,0.3479739337735782,5 btl,1.179785947072957,-0.3547632284709653
btl,5,2010,lyco,52,9,77,14192.239725229945,-1.6486586255873816,184.31480162636294,0.18043663341670974,-0.7532369776048052,0.6959478675471564,5 btl,0.3087767837063963,-0.4821121266013511
btl,5,2011,lyco,30,2,77,301,-2.3025850929940455,3.909090909090909,-0.9562556445957782,-0.7532369776048052,1.0439218013207345,5 btl,0.18043663341670974,-0.9127694942654246
btl,5,2012,lyco,85,22,79,3776,-1.3071570405611668,47.79746835443038,-0.6797257080529291,-0.7532369776048052,1.3918957350943129,5 btl,-0.9562556445957782,-0.25720889819442005
btl,5,2013,lyco,70,12,70,9117,-1.6835458845878222,130.24285714285713,-0.16025746937610452,-0.7532369776048052,1.739869668867891,5 btl,-0.6797257080529291,-0.5050878828598925
btl,5,2014,lyco,60,0,50,13339,-4.0943445622221,266.78,0.7000296874469376,-0.7532369776048052,2.087843602641469,5 btl,-0.16025746937610452,-2.092771306342359
btl,5,2015,lyco,71,1,54,17832,-3.56953269648137,330.22222222222223,1.0997636194451783,-0.7532369776048052,2.435817536415047,5 btl,0.7000296874469376,-1.7471451421115414
btl,5,2016,lyco,72,2,57,11196,-3.1780538303479458,196.42105263157896,0.25671516128923394,-0.7532369776048052,2.7837914701886257,5 btl,1.0997636194451783,-1.4893282981875715
btl,5,2017,lyco,55,0,55,7334,-4.007333185232471,133.34545454545454,-0.14070876165896887,-0.7532369776048052,3.131765403962204,5 btl,0.25671516128923394,-2.0354680888723786
btl,5,2009,opil,60,18,67,13713.815358266333,-1.1499055830556604,204.68381131740796,0.3087767837063963,-0.7532369776048052,0.3479739337735782,5 btl,1.179785947072957,0.37519014229694364
btl,5,2010,opil,52,12,77,14192.239725229945,-1.3862943611198906,184.31480162636294,0.18043663341670974,-0.7532369776048052,0.6959478675471564,5 btl,0.3087767837063963,0.1705528994017069
btl,5,2011,opil,30,32,77,301,0.09531017980432493,3.909090909090909,-0.9562556445957782,-0.7532369776048052,1.0439218013207345,5 btl,0.18043663341670974,1.4531496063968798
btl,5,2012,opil,85,19,79,3776,-1.4469189829363254,47.79746835443038,-0.6797257080529291,-0.7532369776048052,1.3918957350943129,5 btl,-0.9562556445957782,0.11807132408466399
btl,5,2013,opil,70,137,70,9117,0.6787584431078457,130.24285714285713,-0.16025746937610452,-0.7532369776048052,1.739869668867891,5 btl,-0.6797257080529291,1.9582296061843705
btl,5,2014,opil,60,35,50,13339,-0.5108256237659907,266.78,0.7000296874469376,-0.7532369776048052,2.087843602641469,5 btl,-0.16025746937610452,0.9284294370281998
btl,5,2015,opil,71,57,54,17832,-0.20223686649489606,330.22222222222223,1.0997636194451783,-0.7532369776048052,2.435817536415047,5 btl,0.7000296874469376,1.195568820689068
btl,5,2016,opil,72,40,57,11196,-0.5630940523117476,196.42105263157896,0.25671516128923394,-0.7532369776048052,2.7837914701886257,5 btl,1.0997636194451783,0.8831816583660329
